producer_id,month,category,procured_kg
GREENPACK-001,2026-04,rigid_plastic,11800
GREENPACK-001,2026-04,flexible_plastic,9100
GREENPACK-001,2026-04,multilayer_plastic,3150
GREENPACK-001,2026-03,rigid_plastic,10500
GREENPACK-001,2026-03,flexible_plastic,8800
GREENPACK-001,2026-03,multilayer_plastic,2900
GREENPACK-002,2026-04,rigid_plastic,5400
GREENPACK-002,2026-04,flexible_plastic,3200
GREENPACK-002,2026-04,multilayer_plastic,1100
GREENPACK-002,2026-03,rigid_plastic,5100
GREENPACK-002,2026-03,flexible_plastic,2950
GREENPACK-002,2026-03,multilayer_plastic,980
GREENPACK-003,2026-04,rigid_plastic,15200
GREENPACK-003,2026-04,flexible_plastic,11400
GREENPACK-003,2026-04,multilayer_plastic,4200
GREENPACK-003,2026-03,rigid_plastic,14800
GREENPACK-003,2026-03,flexible_plastic,10950
GREENPACK-003,2026-03,multilayer_plastic,3980
GREENPACK-004,2026-04,rigid_plastic,7300
GREENPACK-004,2026-04,flexible_plastic,4600
GREENPACK-004,2026-04,multilayer_plastic,1750
GREENPACK-004,2026-03,rigid_plastic,6900
GREENPACK-004,2026-03,flexible_plastic,4300
GREENPACK-004,2026-03,multilayer_plastic,1680
GREENPACK-005,2026-04,rigid_plastic,9800
GREENPACK-005,2026-04,flexible_plastic,7200
GREENPACK-005,2026-04,multilayer_plastic,2500
GREENPACK-005,2026-03,rigid_plastic,9400
GREENPACK-005,2026-03,flexible_plastic,6950
GREENPACK-005,2026-03,multilayer_plastic,2380
GREENPACK-006,2026-04,rigid_plastic,12300
GREENPACK-006,2026-04,flexible_plastic,8700
GREENPACK-006,2026-04,multilayer_plastic,3400
GREENPACK-006,2026-03,rigid_plastic,11900
GREENPACK-006,2026-03,flexible_plastic,8450
GREENPACK-006,2026-03,multilayer_plastic,3250
GREENPACK-007,2026-04,rigid_plastic,6100
GREENPACK-007,2026-04,flexible_plastic,3900
GREENPACK-007,2026-04,multilayer_plastic,1450
GREENPACK-007,2026-03,rigid_plastic,5900
GREENPACK-007,2026-03,flexible_plastic,3650
GREENPACK-007,2026-03,multilayer_plastic,1320
GREENPACK-008,2026-04,rigid_plastic,14100
GREENPACK-008,2026-04,flexible_plastic,10100
GREENPACK-008,2026-04,multilayer_plastic,3900
GREENPACK-008,2026-03,rigid_plastic,13650
GREENPACK-008,2026-03,flexible_plastic,9750
GREENPACK-008,2026-03,multilayer_plastic,3720
GREENPACK-009,2026-04,rigid_plastic,8200
GREENPACK-009,2026-04,flexible_plastic,5700
GREENPACK-009,2026-04,multilayer_plastic,2100
GREENPACK-009,2026-03,rigid_plastic,7900
GREENPACK-009,2026-03,flexible_plastic,5480
GREENPACK-009,2026-03,multilayer_plastic,1980
GREENPACK-010,2026-04,rigid_plastic,16700
GREENPACK-010,2026-04,flexible_plastic,12500
GREENPACK-010,2026-04,multilayer_plastic,4700
GREENPACK-010,2026-03,rigid_plastic,16150
GREENPACK-010,2026-03,flexible_plastic,11900
GREENPACK-010,2026-03,multilayer_plastic,4520
